,Market_ID,Market_Name,Market_URL,Contract_ID,Contract_Name,bestBuyYesCost,bestBuyNoCost,BestSellYesCost,BestSellNoCost,Time_Stamp,Status
42,3698,Who will win the 2020 U.S. presidential election?,https://www.predictit.org/markets/detail/3698/Who-will-win-the-2020-US-presidential-election,9072,Mark Cuban,0.01,0,0,0.99,2020-08-20T12:16:12.3582699,Open
43,3698,Who will win the 2020 U.S. presidential election?,https://www.predictit.org/markets/detail/3698/Who-will-win-the-2020-US-presidential-election,9073,Mark Zuckerberg,0.01,0,0,0.99,2020-08-20T12:16:12.3582699,Open
44,3698,Who will win the 2020 U.S. presidential election?,https://www.predictit.org/markets/detail/3698/Who-will-win-the-2020-US-presidential-election,9074,Amy Klobuchar,0.01,0,0,0.99,2020-08-20T12:16:12.3582699,Open
45,3698,Who will win the 2020 U.S. presidential election?,https://www.predictit.org/markets/detail/3698/Who-will-win-the-2020-US-presidential-election,9075,Nikki Haley,0.01,0,0,0.99,2020-08-20T12:16:12.3582699,Open
46,3698,Who will win the 2020 U.S. presidential election?,https://www.predictit.org/markets/detail/3698/Who-will-win-the-2020-US-presidential-election,9076,Paul Ryan,0.01,0,0,0.99,2020-08-20T12:16:12.3582699,Open
47,3698,Who will win the 2020 U.S. presidential election?,https://www.predictit.org/markets/detail/3698/Who-will-win-the-2020-US-presidential-election,13542,Beto O'Rourke,0.01,0,0,0.99,2020-08-20T12:16:12.3582699,Open
48,3698,Who will win the 2020 U.S. presidential election?,https://www.predictit.org/markets/detail/3698/Who-will-win-the-2020-US-presidential-election,13872,Sherrod Brown,0.01,0,0,0.99,2020-08-20T12:16:12.3582699,Open
49,3698,Who will win the 2020 U.S. presidential election?,https://www.predictit.org/markets/detail/3698/Who-will-win-the-2020-US-presidential-election,13873,Michael Bloomberg,0.01,0,0,0.99,2020-08-20T12:16:12.3582699,Open
50,3698,Who will win the 2020 U.S. presidential election?,https://www.predictit.org/markets/detail/3698/Who-will-win-the-2020-US-presidential-election,14838,Andrew Yang,0.01,0,0,0.99,2020-08-20T12:16:12.3582699,Open
51,3698,Who will win the 2020 U.S. presidential election?,https://www.predictit.org/markets/detail/3698/Who-will-win-the-2020-US-presidential-election,14846,Pete Buttigieg,0.01,0,0,0.99,2020-08-20T12:16:12.3582699,Open
52,3698,Who will win the 2020 U.S. presidential election?,https://www.predictit.org/markets/detail/3698/Who-will-win-the-2020-US-presidential-election,15347,Tulsi Gabbard,0.01,0,0,0.99,2020-08-20T12:16:12.3582699,Open
53,3698,Who will win the 2020 U.S. presidential election?,https://www.predictit.org/markets/detail/3698/Who-will-win-the-2020-US-presidential-election,18010,Hillary Clinton,0.02,0.99,0.01,0.98,2020-08-20T12:16:12.3582699,Open
54,3698,Who will win the 2020 U.S. presidential election?,https://www.predictit.org/markets/detail/3698/Who-will-win-the-2020-US-presidential-election,20095,Tom Steyer,0.01,0,0,0.99,2020-08-20T12:16:12.3582699,Open
55,3698,Who will win the 2020 U.S. presidential election?,https://www.predictit.org/markets/detail/3698/Who-will-win-the-2020-US-presidential-election,22843,Jo Jorgensen,0.01,0,0,0.99,2020-08-20T12:16:12.3582699,Open
56,3698,Who will win the 2020 U.S. presidential election?,https://www.predictit.org/markets/detail/3698/Who-will-win-the-2020-US-presidential-election,23374,Kanye West,0.01,0,0,0.99,2020-08-20T12:16:12.3582699,Open
57,3731,Will Trump switch parties by Election Day 2020?,https://www.predictit.org/markets/detail/3731/Will-Trump-switch-parties-by-Election-Day-2020,8030,Will Trump switch parties by Election Day 2020?,0.02,0.99,0.01,0.98,2020-08-20T12:16:12.3582699,Open
58,4017,Will Sherrod Brown run for president in 2020?,https://www.predictit.org/markets/detail/4017/Will-Sherrod-Brown-run-for-president-in-2020,9082,Will Sherrod Brown run for president in 2020?,0.02,0.99,0.01,0.98,2020-08-20T12:16:12.3582699,Open
